PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients
11;10;120;600;20;10;0;10;-4;5;15;5

TIME;Players;Spectators
0;6;0

TIME;Total;Adult;Child;Infected
1;10;10;0;0
2;10;10;0;0
3;10;10;0;0
4;10;10;0;0
5;10;10;0;0
6;10;10;0;0
7;9;9;0;0
8;11;7;4;0
9;11;11;0;0
10;11;9;0;2
11;12;8;2;2
12;12;10;0;2
13;11;9;0;2
14;11;8;0;3
15;11;8;0;3
16;12;7;2;3
17;12;9;0;3
18;12;9;0;3
19;13;6;4;3
20;13;10;0;3
21;11;9;2;0
22;12;10;2;0
23;12;7;0;5
24;9;6;2;1
25;9;8;0;1
26;9;8;0;1
27;9;8;0;1

TOTAL_TIME_TICKS;Winner;Reason
11012;2;1
