PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
16;10;120;600;15;20;0;10;-4;5;15;5;0;10;-9;1;5;35;20

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;4;0;2;1;1

TIME;Total;Adult;Child;Infected
1;20;20;0;0
2;20;20;0;0
3;20;20;0;0
4;20;20;0;0
5;20;20;0;0
6;20;20;0;0
7;20;20;0;0
8;20;20;0;0
9;21;19;2;0
10;21;19;2;0
11;21;21;0;0
12;22;20;2;0
13;22;20;2;0
14;23;21;2;0
15;23;21;2;0
16;23;23;0;0
17;23;23;0;0
18;24;22;2;0
19;23;21;2;0
20;23;23;0;0
21;23;23;0;0
22;24;22;2;0
23;24;22;2;0
24;24;24;0;0
25;25;23;2;0
26;25;23;2;0
27;25;23;2;0
28;25;23;2;0
29;25;25;0;0
30;26;24;2;0
31;26;24;2;0
32;27;20;2;5
33;27;20;2;5
34;27;22;0;5
35;27;18;0;9
36;28;17;2;9
37;27;16;2;9
38;27;18;0;9
39;27;15;0;12
40;27;15;0;12
41;27;15;0;12
42;27;15;0;12
43;27;15;0;12
44;27;15;0;12
45;27;15;0;12
46;28;14;2;12
47;26;14;2;10
48;25;16;0;9
49;24;15;0;9
50;25;14;2;9
51;25;14;2;9
52;24;16;0;8
53;21;16;0;5
54;21;16;0;5
55;21;16;0;5
56;21;16;0;5
57;21;16;0;5
58;20;15;0;5
59;20;12;0;8
60;20;12;0;8
61;20;12;0;8
62;20;12;0;8
63;19;12;0;7
64;19;12;0;7
65;19;12;0;7
66;16;10;0;6
67;16;10;0;6
68;16;8;2;6
69;16;8;2;6
70;17;9;2;6
71;17;9;2;6
72;17;11;0;6
73;16;11;0;5
74;16;11;0;5
75;16;11;0;5
76;16;11;0;5
77;17;10;2;5
78;17;10;2;5
79;17;12;0;5
80;16;11;0;5
81;16;11;0;5
82;16;6;2;8
83;15;6;2;7
84;13;8;0;5
85;13;8;0;5
86;13;7;0;6
87;14;6;2;6
88;10;6;2;2
89;10;6;0;4
90;10;6;0;4

TOTAL_TIME_TICKS;Winner;Reason
18319;2;1
