PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
28;10;120;600;25;15;5;3;-1;3;25;2;4;3;3;2;5;30;15

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;5;0;2;2;1

TIME;Total;Adult;Child;Infected
1;15;15;0;0
2;15;15;0;0
3;15;15;0;0
4;15;15;0;0
5;16;14;2;0
6;16;14;2;0
7;17;13;4;0
8;17;15;2;0
9;18;14;4;0
10;20;14;6;0
11;21;13;8;0
12;21;15;6;0
13;21;19;2;0
14;21;21;0;0
15;23;19;4;0
16;24;18;6;0
17;24;18;6;0
18;24;22;2;0
19;24;24;0;0
20;24;24;0;0
21;24;24;0;0
22;25;23;2;0
23;25;23;2;0
24;25;23;2;0
25;26;24;2;0
26;28;22;6;0
27;29;21;8;0
28;29;23;6;0
29;29;27;2;0

TOTAL_TIME_TICKS;Winner;Reason
6021;1;3
