PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
29;10;120;600;25;15;5;3;-1;3;25;2;4;3;3;2;5;30;15

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;5;0;2;2;1

TIME;Total;Adult;Child;Infected
1;15;15;0;0
2;15;15;0;0
3;15;15;0;0
4;15;15;0;0
5;16;14;2;0
6;16;14;2;0
7;16;14;2;0
8;17;15;2;0
9;18;14;4;0
10;19;13;6;0
11;21;13;8;0
12;21;15;6;0
13;21;17;4;0
14;22;20;2;0
15;22;20;2;0
16;23;19;4;0
17;22;20;2;0
18;22;20;2;0
19;23;21;2;0
20;24;20;4;0
21;24;17;5;2
22;23;17;4;2
23;22;19;2;1
24;22;21;0;1
25;22;21;0;1
26;22;20;2;0
27;22;20;2;0
28;22;20;2;0
29;21;21;0;0
30;21;19;0;2
31;21;17;0;4
32;21;17;0;4
33;21;17;0;4
34;21;17;0;4
35;21;14;0;7
36;22;10;2;10
37;22;10;2;10
38;21;10;2;9
39;18;12;0;6
40;18;12;0;6
41;16;12;0;4
42;14;12;0;2
43;15;11;2;2
44;15;11;2;2
45;15;11;2;2
46;16;12;2;2
47;17;11;4;2
48;17;11;4;2
49;19;11;6;2
50;20;12;6;2
51;20;10;6;4
52;20;14;2;4
53;21;14;2;5
54;21;14;2;5
55;22;12;6;4
56;22;13;6;3
57;21;13;6;2
58;20;16;2;2
59;20;14;0;6
60;22;12;4;6
61;23;11;6;6
62;23;10;7;6
63;22;12;5;5
64;22;13;4;5
65;23;12;6;5
66;22;14;4;4
67;22;15;4;3
68;23;15;5;3
69;24;14;7;3
70;24;16;5;3
71;24;19;2;3
72;25;20;2;3
73;26;19;4;3
74;24;19;2;3
75;24;19;2;3
76;24;21;0;3
77;26;19;4;3
78;26;19;4;3
79;27;18;6;3
80;26;21;2;3
81;26;20;3;3
82;27;20;4;3
83;28;19;6;3
84;27;19;5;3
85;28;21;4;3
86;27;21;3;3
87;27;20;4;3
88;27;22;2;3
89;27;25;2;0
90;28;26;2;0

TOTAL_TIME_TICKS;Winner;Reason
18341;1;3
