PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
15;10;120;600;15;20;0;10;-4;5;15;5;0;10;-9;1;5;35;20
;;;;;;;;;;;;;;;;;;
TIME;Players;Spectators;RedCells;WhiteCells;Pathogens;;;;;;;;;;;;;
0;1;0;0;0;1;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
TIME;Total;Adult;Child;Infected;;;;;;;;;;;;;;
1;20;20;0;0;;;;;;;;;;;;;;
2;19;19;0;0;;;;;;;;;;;;;;
3;19;19;0;0;;;;;;;;;;;;;;
4;19;19;0;0;;;;;;;;;;;;;;
5;18;18;0;0;;;;;;;;;;;;;;
6;18;17;0;1;;;;;;;;;;;;;;
7;18;17;0;1;;;;;;;;;;;;;;
8;18;17;0;1;;;;;;;;;;;;;;
9;18;16;0;2;;;;;;;;;;;;;;
10;18;15;0;3;;;;;;;;;;;;;;
11;17;15;0;2;;;;;;;;;;;;;;
12;16;15;0;1;;;;;;;;;;;;;;
13;16;15;0;1;;;;;;;;;;;;;;
14;16;12;0;4;;;;;;;;;;;;;;
15;16;12;0;4;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
TOTAL_TIME_TICKS;Winner;Reason;;;;;;;;;;;;;;;;
3213;2;1;;;;;;;;;;;;;;;;
