PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
17;10;180;600;15;20;0;5;-10;3;25;3;0;10;-3;3;5;35;20

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;4;0;2;1;1

TIME;Total;Adult;Child;Infected
1;20;20;0;0
2;20;20;0;0
3;20;20;0;0
4;20;20;0;0
5;20;20;0;0
6;20;18;0;2
7;20;18;0;2
8;20;18;0;2
9;20;18;0;2
10;20;18;0;2
11;20;18;0;2
12;20;18;0;2
13;21;17;2;2
14;21;17;2;2
15;21;19;0;2
16;21;19;0;2
17;21;19;0;2
18;20;17;0;3
19;20;17;0;3
20;21;16;2;3
21;21;16;2;3
22;21;18;0;3
23;21;18;0;3
24;21;18;0;3
25;22;17;2;3
26;22;17;2;3
27;22;18;0;4
28;22;18;0;4
29;22;18;0;4
30;22;18;0;4
31;21;17;0;4
32;21;15;0;6
33;21;15;0;6
34;21;15;0;6
35;21;12;0;9
36;20;12;0;8
37;20;12;0;8
38;20;12;0;8
39;20;12;0;8
40;20;12;0;8
41;20;10;0;10
42;20;10;0;10
43;20;10;0;10
44;20;10;0;10
45;18;10;0;8
46;18;10;0;8
47;17;10;0;7
48;15;10;0;5
49;13;10;0;3
50;13;10;0;3
51;14;9;2;3
52;15;8;4;3
53;16;9;4;3
54;16;11;2;3
55;16;13;0;3
56;16;13;0;3
57;15;12;0;3
58;15;12;0;3
59;15;12;0;3
60;15;12;0;3
61;15;12;0;3
62;15;12;0;3
63;16;11;2;3
64;16;11;2;3
65;16;13;0;3
66;16;13;0;3
67;16;11;2;3
68;16;11;2;3
69;15;13;0;2
70;16;12;2;2
71;16;12;2;2
72;16;14;0;2
73;16;14;0;2
74;16;14;0;2
75;17;13;2;2
76;17;13;2;2
77;17;15;0;2
78;17;15;0;2
79;17;15;0;2
80;17;15;0;2
81;18;14;2;2
82;18;11;2;5
83;18;13;0;5
84;18;13;0;5
85;18;13;0;5
86;19;12;2;5
87;19;12;2;5
88;19;14;0;5
89;19;14;0;5
90;19;14;0;5
91;19;14;0;5
92;19;14;0;5
93;19;14;0;5
94;19;12;0;7
95;19;12;0;7
96;19;12;0;7
97;20;11;2;7
98;20;11;2;7
99;20;13;0;7
100;20;10;0;10
101;19;9;2;8
102;19;9;2;8
103;16;11;0;5
104;15;11;0;4
105;15;11;0;4
106;16;10;2;4
107;16;7;0;9
108;16;7;0;9
109;16;6;0;10
110;17;5;2;10
111;17;5;2;10
112;16;7;0;9
113;13;6;0;7

TOTAL_TIME_TICKS;Winner;Reason
22928;2;1
