PROFILE_ID;RespawnTime;DeliveryTime;NetCooldown;SplitChance;StartCellCount;DC_Exp;DC_Lin;DC_Const;MinDeliveryCount;SandwichCarryLimit;RequiredNutrients;PS_Exp;PS_Lin;PS_Const;MinPoisonCount;CellsMin;CellsMax;VirusMax
25;10;180;600;20;20;5;3;-1;3;25;2;6;5;0;3;5;40;20

TIME;Players;Spectators;RedCells;WhiteCells;Pathogens
0;3;0;1;1;1

TIME;Total;Adult;Child;Infected
1;20;20;0;0
2;20;20;0;0
3;20;20;0;0
4;20;20;0;0
5;20;20;0;0
6;20;20;0;0
7;20;20;0;0
8;20;20;0;0
9;20;20;0;0
10;20;20;0;0
11;20;20;0;0
12;20;19;0;1
13;20;19;0;1
14;20;19;0;1
15;20;19;0;1
16;20;19;0;1
17;20;19;0;1
18;20;19;0;1

TOTAL_TIME_TICKS;Winner;Reason
3860;2;2
